>10+14s	clBlack
>10+10s	7012393
>10+07s	10834481
>10+05s	10847232
>10+04s	9738760
>10+03s	13018368
>10+02s	14599779
>10+01s	11910499
>10+00s	5420370

10-01s	6545069
10-02s	3796950
10-03s	8714215
10-04s	1114111
10-05s	10289151
10-06s	13035519
10-07s	10864383
10-15s	14597623
<10-15s	7574783
